START ZONE,PRIMARY,DIRECTIONS 1,IMAGE URL 1,DIRECTIONS 2,IMAGE URL 2,DIRECTIONS 3,IMAGE URL 3
Zone 19,B16,Exit Food Court,https://i.imgur.com/yMTrWiQ.jpg
Zone 19,B17,Exit Food Court,https://i.imgur.com/upDROov.jpg
Zone 19,B18,Enter Bookstore doors,https://i.imgur.com/7X6ulsr.jpg
Zone 19,B35,Exit Food Court,https://i.imgur.com/1yMtX5h.jpg

Zone 20,B18,Exit through Food Court doors,https://i.imgur.com/oU0iAPP.jpg
Zone 20,B23,Exit through doors,https://i.imgur.com/ZBhMIzH.jpg
Zone 20,B25,Exit through doors near AntTech,https://i.imgur.com/4SCMBK1.jpg

Zone 21,C1,Exit through these doors,https://i.imgur.com/NMjErUO.jpg
Zone 21,C3,Enter the elevator,https://i.imgur.com/G3ZuZOK.jpg

Zone 22,C5,Exit through these doors,https://i.imgur.com/NtKxDzE.jpg
Zone 22,C6,Go towards elevator hallway,https://i.imgur.com/d0oxrXb.jpg
Zone 22,C9,Exit through these doors,https://i.imgur.com/rhxBN6z.jpg

Zone 23,C6,Enter hallway,https://i.imgur.com/SZv0Jnd.jpg
Zone 23,C7,Enter the elevator,https://i.imgur.com/4d1Unzq.jpg
Zone 23,C8,Take the stairs,https://i.imgur.com/JYbBcOw.jpg

Zone 24,D2,Exit through door,https://i.imgur.com/aKvacJl.jpg
Zone 24,D3,Go towards elevator hallway,https://i.imgur.com/GW7dSvw.jpg

Zone 25,D3,Enter this hallway,https://i.imgur.com/LgiFBpU.jpg
Zone 25,D4,Enter the elevator,https://i.imgur.com/bSxYlRK.jpg
Zone 25,D5,Take stairs down,https://i.imgur.com/dvaIo8r.jpg

Zone 26,B33,Exit through doors,https://i.imgur.com/yRUyhUi.jpg
Zone 26,B34,Exit through doors,https://i.imgur.com/rixta72.jpg
Zone 26,B36,Exit through doors,https://i.imgur.com/m480ZLO.jpg

Zone 27,B36,Exit through doors,https://i.imgur.com/NUxetjD.jpg
Zone 27,B37,Exit through doors,https://i.imgur.com/4qDOu4S.jpg
Zone 27,B38,Exit through doors,https://i.imgur.com/4HfmAJV.jpg

Outzone 6,B44,Through this door,https://i.imgur.com/RUUSQ46.jpg,Take elevator,https://i.imgur.com/HdQMskO.jpg
Outzone 6,B47,Through doors past restroom,https://i.imgur.com/3PDMfCp.jpg,Take stairs up,https://i.imgur.com/dIRKWLY.jpg

OutZone 1,B7,Enter Food Court doors,https://i.imgur.com/5HBcdqn.jpg
OutZone 1,B8,Down the path,https://i.imgur.com/YgzJuCH.jpg

OutZone 2,B5,Enter Food Court doors,https://i.imgur.com/sQGzeg7.jpg
OutZone 2,B6,Enter Food Court doors,https://i.imgur.com/4OOpC0s.jpg
OutZone 2,B8,Down the path towards the bridge,https://i.imgur.com/bmV9UuV.jpg
OutZone 2,B9,Take stairs down,https://i.imgur.com/cN0xT7I.jpg
OutZone 2,B10,Down the path,https://i.imgur.com/ir1Mqhl.jpg
OutZone 2,B43,Down the path,https://i.imgur.com/K6gPaZs.jpg,Enter elevator,https://i.imgur.com/XlXqu3J.jpg

OutZone 3,B10,Down the main path,https://i.imgur.com/TQkKOWi.jpg
OutZone 3,B12,Down the main path,https://i.imgur.com/xaOgDj1.jpg
OutZone 3,B13,Down the main path,https://i.imgur.com/o38Rhxz.jpg
