START ZONE,SECONDARY,DIRECTIONS 1,IMAGE URL 1,DIRECTIONS 2,IMAGE URL 2,DIRECTIONS 3,IMAGE URL 3
Zone 17,S47,Take stairs up,https://i.imgur.com/BmUHZRW.jpg,Continue straight; then take slight left,https://i.imgur.com/Z3mESaA.jpg,Continue straight through doors,https://i.imgur.com/TTqCWi7.jpg
Zone 17,S48,Take stairs up,https://i.imgur.com/BmUHZRW.jpg,Continue straight; then take slight left,https://i.imgur.com/Z3mESaA.jpg,Take a slight right through doors,https://i.imgur.com/0W3zedq.jpg

Zone 18,S49,Take a slight right,https://i.imgur.com/T0bgTjs.jpg
Zone 18,S50,Take a slight right,https://i.imgur.com/teytsBl.jpg
Zone 18,S51,Take a slight right,https://i.imgur.com/MgIBrix.jpg
Zone 18,S52,Take a slight right,https://i.imgur.com/6jEHajj.jpg

Zone 19,S65,Take a slight left,https://i.imgur.com/rVyR9Co.jpg
Zone 19,S66,Take a slight left,https://i.imgur.com/Ey68L5V.jpg
Zone 19,S67,Take a slight left,https://i.imgur.com/62Y8ApX.jpg
Zone 19,S68,Take a slight left,https://i.imgur.com/xwFj8VR.jpg
Zone 19,S69,Take a slight left,https://i.imgur.com/Fo4PSNu.jpg

Zone 20,S73,Continue straight,https://i.imgur.com/9SD5H2W.jpg,Continue straight,https://i.imgur.com/72yIcnH.jpg,Take a left through doors,https://i.imgur.com/9SD5H2W.jpg

Zone 21,S95,Continue straight through doors,https://i.imgur.com/7cEaK5d.jpg,Take a slight left,https://i.imgur.com/tTCGBDf.jpg
Zone 21,S99,Continue straight through doors,https://i.imgur.com/7cEaK5d.jpg,Take a slight right through doors,https://i.imgur.com/hU7DXTH.jpg

Zone 22,S78,Continue straight,https://i.imgur.com/NtKxDzE.jpg,Take a slight left through doors,https://i.imgur.com/UeSQubT.jpg
Zone 22,S79,Continue straight,https://i.imgur.com/NtKxDzE.jpg,Turn right,https://i.imgur.com/hu7YeI0.jpg
Zone 22,S80,Continue straight,https://i.imgur.com/rXCyhCK.jpg,Take a slight right through doors,https://i.imgur.com/AVERJ8t.jpg
